snapshot,percentile,ix,iy,iz,omega_mag,R_max,sigma_abs,sigma_signed,C_far
t=0,50.0,184,237,189,16.995451474204977,96,20.36446581380069,0.40549120626563917,0.019911703551332236
t=0,50.0,184,237,189,16.995451474204977,112,21.719301016183834,0.5624031375819774,0.0258941637745575
t=0,50.0,9,32,41,72.90605080120544,32,14.05238946022935,0.46243832647382827,0.032908163254555915
t=0,50.0,9,32,41,72.90605080120544,48,17.787016118408744,0.48178164115396105,0.02708614182090605
t=0,50.0,9,32,41,72.90605080120544,64,20.48901086954359,0.29378941873380227,0.014338877586839147
t=0,50.0,9,32,41,72.90605080120544,80,22.52523964605293,0.18133942000210476,0.008050499033597657
t=0,50.0,9,32,41,72.90605080120544,96,24.206883504677084,0.22370672388626156,0.009241450839511766
t=0,50.0,9,32,41,72.90605080120544,112,25.524075031275594,0.1885493201589818,0.007387116670357117
t=0,50.0,43,116,134,34.48855326948923,32,8.543527294086633,0.7785824128208356,0.09113126066323077
t=0,50.0,43,116,134,34.48855326948923,48,12.80148100209034,1.4813961577574037,0.11572068556095254
t=0,50.0,43,116,134,34.48855326948923,64,15.490528019403161,1.484914959336473,0.09585954445687679
t=0,50.0,43,116,134,34.48855326948923,80,17.438473569065504,1.3548437192363134,0.07769279311462793
t=0,50.0,43,116,134,34.48855326948923,96,18.964253186785548,1.289325210851809,0.06798713337945844
t=0,50.0,43,116,134,34.48855326948923,112,20.340263287089645,1.2651294427668696,0.06219828253500885
t=0,50.0,43,184,152,18.816232432917193,32,12.069394799880424,3.426564546165443,0.2839052498472741
t=0,50.0,43,184,152,18.816232432917193,48,16.133089583370257,5.138910996298058,0.3185323536289769
t=0,50.0,43,184,152,18.816232432917193,64,18.851158474102842,5.9724250670051,0.31682005512869876
t=0,50.0,43,184,152,18.816232432917193,80,20.728909348400602,6.2227367768037265,0.30019605335790905
t=0,50.0,43,184,152,18.816232432917193,96,22.281486235716002,6.293094176528929,0.2824360148131162
t=0,50.0,43,184,152,18.816232432917193,112,23.66690179543797,6.277792682894316,0.2652562104307385
t=0,50.0,249,130,64,16.404343712159555,32,11.960051987032319,1.7608086908789968,0.1472241669842366
t=0,50.0,249,130,64,16.404343712159555,48,15.302100652282931,2.457151264017942,0.1605760751319694
t=0,50.0,249,130,64,16.404343712159555,64,17.806986886929632,2.20687011984879,0.12393282108095657
t=0,50.0,249,130,64,16.404343712159555,80,19.626252639151332,2.101679425771864,0.1070851101539037
t=0,50.0,249,130,64,16.404343712159555,96,21.167621141790704,2.173951565607541,0.1027017420165161
t=0,50.0,249,130,64,16.404343712159555,112,22.620147612303715,2.218326857497109,0.09806862870737858
t=0,50.0,140,35,50,33.70904056126818,32,12.741679082744636,1.25893645066269,0.09880459572770119
t=0,50.0,140,35,50,33.70904056126818,48,16.538664464106272,1.2495588156530442,0.07555379204680955
t=0,50.0,140,35,50,33.70904056126818,64,19.356380714472472,1.0959623111692167,0.056620208464373836
t=0,50.0,140,35,50,33.70904056126818,80,21.37153367966917,1.0375409261588682,0.04854779922256516
t=0,50.0,140,35,50,33.70904056126818,96,22.946687162139387,1.097352206810916,0.0478218140621832
t=0,50.0,140,35,50,33.70904056126818,112,24.243979267443393,1.1101956792263383,0.04579263440953322
t=0,50.0,24,114,18,29.416671429995056,32,12.187965617647412,3.060558040422771,0.2511131173516993
t=0,50.0,24,114,18,29.416671429995056,48,15.824855357308797,3.0246228315271897,0.19113115180103374
t=0,50.0,24,114,18,29.416671429995056,64,18.238580929276416,2.986825430363308,0.1637641350467613
t=0,50.0,24,114,18,29.416671429995056,80,20.140487284962934,3.176410373076019,0.15771268729170992
t=0,50.0,24,114,18,29.416671429995056,96,21.71251785441126,3.240982509584429,0.14926792605611927
t=0,50.0,24,114,18,29.416671429995056,112,23.0894559968817,3.2396350734987105,0.14030798620531523
t=0,50.0,88,104,110,24.38399461818725,32,12.018367718695652,0.21774804101485637,0.01811793798554938
t=0,50.0,88,104,110,24.38399461818725,48,15.293836445686825,0.026019260169902428,0.0017012905991446242
t=0,50.0,88,104,110,24.38399461818725,64,17.89443324482917,0.1311962681803878,0.007331680550335321
t=0,50.0,88,104,110,24.38399461818725,80,19.868198630388633,0.2072313289264074,0.010430302856417226
t=0,50.0,88,104,110,24.38399461818725,96,21.404707969921436,0.19553979165731655,0.009135363674762354
t=0,50.0,88,104,110,24.38399461818725,112,22.748716576424226,0.17676312456297685,0.007770246025490792
t=0,50.0,103,165,6,28.20422563447439,32,9.953991068348964,1.1715181599586273,0.11769331034299825
t=0,50.0,103,165,6,28.20422563447439,48,14.25424231793045,3.0822152122579825,0.2162314308618744
t=0,50.0,103,165,6,28.20422563447439,64,17.374109972068286,4.059356557305009,0.2336440004023853
t=0,50.0,103,165,6,28.20422563447439,80,19.310543644767577,4.0952606609206805,0.21207381502334557
t=0,50.0,103,165,6,28.20422563447439,96,20.890587914247583,4.173417004104758,0.1997749905955709
t=0,50.0,103,165,6,28.20422563447439,112,22.309746932993267,4.245349594815685,0.190291248375272
